ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,relative_id,crystal_system,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,fx,fy
2dm-1,IrF2,AB2,164,3,0,0.095102,bottom-up,0,0,0.23462,0.7998,0.0,-3m,trigonal,F,Ir,,,,,non-radioactive,no-f-in-valence,,,2dm-4963,trigonal,2.3965022563934326,0.1397564560174942,0.0,0.6174392104148865,2.7829344272613525,2.313138008117676,0.0,1.6864697933197021,2.736994981765747,2.0500423908233643,0.0,2.386599540710449,2.014936923980713,2.37520170211792,1.7405829429626465,3.046064615249634,0.0,2.814743995666504,0.0,2.207824230194092,0.0,3.478435516357422,0.0,2.536351203918457,0.0,3.3382532596588135,0.0,2.6324069499969482,0.0,1.707491397857666,0.0,1.6380205154418945,-71.68386,28.784258
2dm-2,Ba2Sb,AB2,164,3,1,0.38741,bottom-up,0,0,0.21065,0.30002,0.0,-3m,trigonal,Ba,Sb,,,,,non-radioactive,no-f-in-valence,,,2dm-3279,trigonal,2.882784128189087,0.0,0.0,0.6358771324157715,2.5370960235595703,3.1932053565979004,0.0,3.633573055267334,3.0581183433532715,2.3278348445892334,0.0,3.667973518371582,1.747551441192627,2.072641611099243,1.6193187236785889,3.166612386703491,0.0,4.5104827880859375,0.0,4.421041488647461,0.0,3.8462374210357666,0.0,3.106321334838867,0.0,2.7624268531799316,0.0,2.2506837844848633,0.0,2.4738168716430664,0.0,2.0571823120117188,-21.461775,93.12831
2dm-3,TlS,AB,2,4,4,0.84646,bottom-up,1,3,0.095794,0.17741,0.9814,-1,triclinic,S,Tl,,,,,non-radioactive,no-f-in-valence,276.0,24.2,2dm-5155,triclinic,2.387145519256592,0.0,0.0,0.6509066820144653,2.1056597232818604,1.8434103727340698,0.0,2.429474353790283,1.9754421710968018,2.7131030559539795,0.0,2.068319082260132,1.7854373455047607,3.326528549194336,1.6343162059783936,4.729202747344971,0.0,4.660000324249268,0.0,4.0067243576049805,0.0,3.7174489498138428,0.0,4.036159515380859,0.0,4.8185529708862305,0.0,3.711501121520996,0.0,2.5684218406677246,0.0,3.431215763092041,57.203545,46.606255
2dm-4,MoCl2,AB2,166,5,4,0.71376,bottom-up,0,0,-0.055818,0.48582,0.0,2/m,trigonal,Cl,Mo,,,,,non-radioactive,no-f-in-valence,,,2dm-4342,trigonal,1.8245905637741089,0.024892792105674744,0.0,0.5920418500900269,3.317570447921753,2.2356719970703125,0.0,2.3193140029907227,2.639758348464966,2.617598295211792,0.0,3.900536060333252,2.0881707668304443,2.3745014667510986,1.9836714267730713,2.1312732696533203,0.0,3.414734363555908,0.0,2.8671722412109375,0.0,4.118635177612305,0.0,3.016019821166992,0.0,3.711081027984619,0.0,2.548562526702881,0.0,2.9387097358703613,0.0,2.3470656871795654,-36.971783,69.412384
2dm-6,RuI2,AB2,164,3,1,0.26493,bottom-up,0,0,0.084831,0.011699,1.1619,-3m,trigonal,I,Ru,,,,,non-radioactive,no-f-in-valence,,,2dm-3574,trigonal,1.985075831413269,0.1215287446975708,0.0,0.622439444065094,2.155100107192993,2.0871472358703613,0.0,2.531554698944092,2.5581722259521484,2.298659563064575,0.0,2.025118112564087,2.775108814239502,2.185260057449341,2.1985840797424316,2.0200514793395996,0.0,2.539515495300293,0.0,1.9657657146453857,0.0,3.656367301940918,0.0,3.081286907196045,0.0,3.9237091541290283,0.0,3.4919514656066895,0.0,3.093496799468994,0.0,2.6719648838043213,-50.07969,30.200098
2dm-7,TcTe2,AB2,164,3,0,0.12034,bottom-up,0,0,0.07163,0.030885,0.0,-3m,trigonal,Tc,Te,,,,,non-radioactive,no-f-in-valence,,,2dm-4839,trigonal,2.8338069915771484,0.0,0.0,0.6109992265701294,2.325610637664795,2.3325963020324707,0.0,3.1215333938598633,2.376784086227417,2.228527545928955,0.0,3.0154783725738525,2.8287718296051025,2.476269483566284,1.9621121883392334,2.4533166885375977,0.0,2.9905800819396973,0.0,1.9967467784881592,0.0,3.493500232696533,0.0,2.1635918617248535,0.0,3.281381607055664,0.0,3.0217549800872803,0.0,3.341522216796875,0.0,2.5674309730529785,-56.869606,23.432888
2dm-8,TcSe2,AB2,164,3,1,0.20749,bottom-up,0,0,0.067149,0.0,0.0,-3m,trigonal,Se,Tc,,,,,non-radioactive,no-f-in-valence,,,2dm-4839,trigonal,3.2923288345336914,0.0,0.0,0.6056353449821472,2.6721081733703613,2.5903327465057373,0.0,2.841154098510742,2.316033363342285,2.2493112087249756,0.0,3.3522539138793945,2.8648788928985596,2.3041367530822754,2.0463404655456543,1.935600757598877,0.0,3.0088484287261963,0.0,2.083737373352051,0.0,3.3994016647338867,0.0,2.1314878463745117,0.0,3.3581137657165527,0.0,2.433866500854492,0.0,3.241051435470581,0.0,2.586481809616089,-58.3274,25.79219
2dm-10,SiBr4,AB4,123,3,1,0.34101,bottom-up,0,0,0.12852,0.51393,0.2086,4/mmm,tetragonal,Br,Si,,,,,non-radioactive,no-f-in-valence,,,2dm-4359,tetragonal,2.4368464946746826,0.1270969808101654,0.0,0.6323292851448059,2.4567506313323975,1.8942188024520874,0.0,2.73221492767334,2.8810465335845947,1.865376353263855,0.0,2.7495627403259277,2.423677921295166,2.2303926944732666,1.7643461227416992,3.1673758029937744,0.0,2.3804357051849365,0.0,2.4253175258636475,0.0,2.6104800701141357,0.0,2.8255157470703125,0.0,3.766728401184082,0.0,2.7674829959869385,0.0,2.6734910011291504,0.0,3.2716851234436035,-56.735172,-23.292488
2dm-11,SrO2,AB2,123,3,0,0.072811,bottom-up,0,0,0.21765,0.091334,2.9398,4/mmm,tetragonal,O,Sr,,,,,non-radioactive,no-f-in-valence,,,2dm-4188,tetragonal,2.12243390083313,0.026776043698191643,0.08641472458839417,0.509159505367279,2.555924654006958,2.4543325901031494,0.0,1.7331193685531616,1.9216606616973877,1.9511470794677734,0.0,1.7118117809295654,2.9889156818389893,1.4838933944702148,2.1286444664001465,2.2403645515441895,0.0,3.1374146938323975,0.0,2.5025973320007324,0.0,1.935049057006836,0.0,1.8141427040100098,0.0,3.561319351196289,0.0,2.0004348754882812,0.0,2.2803852558135986,0.0,1.9399538040161133,-98.704796,2.2778971
2dm-12,TaCl4,AB4,123,3,2,0.63376,bottom-up,0,0,0.096811,0.23882,0.0,4/mmm,tetragonal,Cl,Ta,,,,,non-radioactive,no-f-in-valence,,,2dm-3290,tetragonal,2.513216972351074,0.09406528621912003,0.0,0.6105228066444397,3.357274055480957,1.9845163822174072,0.0,2.04593563079834,1.946637749671936,2.682931423187256,0.0,3.112079620361328,3.581899404525757,1.7565842866897583,2.182835578918457,1.6134910583496094,0.0,3.0310919284820557,0.0,2.4207444190979004,0.0,3.3228280544281006,0.0,2.4753854274749756,0.0,3.082817554473877,0.0,1.9119237661361694,0.0,3.2028260231018066,0.0,2.519484519958496,-38.628395,-1.3462442
